Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.FileSync.Plugin.Name,,,Script Sync,Script Sync,,Skript-Synchronisierung,Sincronización de scripts,Script Sync,Sinkronisasi Skrip,Sincronizzazione script,スクリプト同期,스크립트 동기화,Synchronizacja skryptu,Sincronização de script,,ซิงค์สคริปต์,Betik Senkronizasyonu,Đồng Bộ Hóa Kịch Bản,,,指令碼同步
Studio.FileSync.Plugin.Toolbar,,,Script Sync,Script Sync,,Skript-Synchronisierung,Sincronización de scripts,Script Sync,Sinkronisasi Skrip,Sincronizzazione script,スクリプト同期,스크립트 동기화,Synchronizacja skryptu,Sincronização de script,,ซิงค์สคริปต์,Betik Senkronizasyonu,Đồng Bộ Hóa Kịch Bản,,,指令碼同步
Studio.FileSync.Plugin.Button,,,Toggle,Toggle,,Umschalten,Alternar,Basculer,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,,,切換
Studio.FileSync.Plugin.Description,,,Toggles the Script Sync plugin window.,Toggles the Script Sync plugin window.,,Schaltet das Skript-Synchronisierungs-Plugin-Fenster um.,Alterna la ventana del plugin Script Sync.,Active la fenêtre du plugin Script Sync.,Menyalakan/mematikan jendela plugin Sinkronisasi Skrip.,Attiva/disattiva la finestra del plugin Sincronizzazione script.,スクリプト同期プラグインウィンドウを切りかえ。,스크립트 동기화 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in do synchronizacji skryptu.,Alterna a janela do plugin Sincronizador de scripts.,,เปิด/ปิดหน้าต่างปลั๊กอินซิงค์สคริปต์,Betik Senkronizasyonu eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Đồng Bộ Hóa Kịch Bản.,,,切換指令碼同步外掛程式視窗。
Studio.FileSync.Plugin.Text,,,Example Text!,Example Text!,,Beispieltext!,Texto de ejemplo,Exemple de texte !,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,,,範例文字！
Studio.FileSync.Errors.ImportFailure,,,Failed Import,Failed Import,,Import fehlgeschlagen,Error de importación,Échec de l'importation,Impor Gagal,Importazione non riuscita,失敗したインポート,가져오기 실패,Nie udało się zaimportować,Falha na importação,,นำเข้าไม่สำเร็จ,İçe aktarma başarısız,Không Nhập Được,,,匯入失敗
Studio.FileSync.Status.LocalChanges.MainText,,,Studio is Out of Date,Studio is Out of Date,,Studio ist veraltet,Studio está obsoleto,Sutdio n'est plus à jour,Studio Kedaluwarsa,Studio non è aggiornato,Studioが古くなっています,Studio가 최신 상태가 아닙니다,Aplikacja Studio jest nieaktualna,O Studio está desatualizado,,Studio ล้าสมัยแล้ว,Studio güncel değil,Studio Đã Cũ,,,Studio 已過時
Studio.FileSync.Operations.Import,,,Import,Import,,Importieren,Importar,Importer,Impor,Importa,インポート,가져오기,Importuj,Importar,,นำเข้า,İçe Aktar,Nhập,,,匯入
Studio.FileSync.Errors.NoDirectory,,,Please select a directory.,Please select a directory.,,Bitte wähle ein Verzeichnis.,Selecciona un directorio.,Veuillez sélectionner un répertoire.,Pilih direktori.,Seleziona una directory.,カテゴリを選択してください.,디렉터리를 선택하세요.,Zaznacz folder.,Selecione uma pasta.,,โปรดเลือกไดเรกเทอรี,Lütfen bir dizin seç.,Vui lòng chọn một thư mục.,,,請選擇一個目錄。
Studio.FileSync.Operations.Export,,,Export,Export,,Exportieren,Exportar,Exporter,Ekspor,Esporta,エクスポート,내보내기,Eksportuj,Exportar,,ส่งออก,Dışa aktar,Xuất,,,匯出
Studio.FileSync.Labels.LastExport,,,Last Export:,Last Export:,,Letzter Export:,Última exportación:,Dernière exportation :,Ekspor Terakhir:,Ultima esportazione:,最終エクスポート:,마지막 내보내기:,Ostatni eksport:,Última exportação:,,ส่งออกล่าสุด:,Son dışa aktarım:,Lần Xuất Gần Đây Nhất:,,,上次匯出：
Studio.FileSync.Labels.LastImport,,,Last Import:,Last Import:,,Letzter Import:,Última importación:,Dernière importation :,Impor Terakhir:,Ultima importazione:,最終インポート:,마지막 가져오기:,Ostatni import:,Última importação:,,นำเข้าล่าสุด:,Son içe aktarım:,Lần Nhập Gần Đây Nhất:,,,上次匯入：
Studio.FileSync.Labels.Connections,,,Connections,Connections,,Verbindungen,Conexiones,Connexions,Koneksi,Connessioni,接続,연결,Połączenia,Conexões,,การเชื่อมต่อ,Bağlantılar,Kết Nối,,,連線
Studio.FileSync.Labels.Settings,,,Settings,Settings,,Einstellungen,Configuración,Paramètres,Pengaturan,Impostazioni,設定,설정,Ustawienia,Configurações,,การตั้งค่า,Ayarlar,Cài Đặt,,,設定
Studio.FileSync.KeyboardShortcuts.Import,,,F6,F6,,F6,F6,F6,F6,F6,F6,F6,F6,F6,,F6,F6,F6,,,F6
Studio.FileSync.Labels.AutoImport,,,Auto Import before Playtest,Auto Import before Playtest,,Automatischer Import vor Spieltest,Importación automática antes de Playtest,Importation automatique avant Playtest,Impor Otomatis sebelum Playtest,Importa automaticamente prima del test di giocabilità,プレイテスト前に自動インポート,플레이테스트 전에 자동 가져오기,Automatyczny import przed playtestem,Importação automática antes do teste de jogo,,นำเข้าอัตโนมัติก่อนการทดลองเล่น,Oynanış testinden önce otomatik olarak içe aktar,Tự Động Nhập trước khi Chơi Thử Nghiệm,,,試玩前自動匯入
Studio.FileSync.Labels.LocalDirectory,,,Local Directory,Local Directory,,Lokales Verzeichnis,Directorio local,Répertoire local,Direktori Lokal,Directory locale,ローカルディレクトリ,로컬 디렉터리,Katalog lokalny,Pasta local,,ไดเรกเทอรีภายใน,Yerel Dizin,Thư Mục Cục Bộ,,,本機目錄
Studio.FileSync.Errors.FileSyncError,,,Script Sync Error,Script Sync Error,,Skript-Synchronisierungsfehler,Error al sincronizar el script,Erreur de synchronisation de script,Eror Sinkronisasi Skrip,Errore di sincronizzazione script,スクリプト同期エラー,스크립트 동기화 오류,Błąd synchronizacji skryptu,Erro de sincronização de script,,เกิดข้อผิดพลาดในการซิงค์สคริปต์,Betik Senkronizasyonu Hatası,Lỗi Đồng Bộ Hóa Kịch Bản,,,指令碼同步發生錯誤
Studio.FileSync.Labels.Place,,,Place,Place,,Ort,Lugar,Lieu,Tempat,Posto,プレース,플레이스,Miejsce,Local,,สถานที่,Mekân,Địa Điểm,,,地點
Studio.FileSync.Labels.SelectFolder,,,Select Folder,Select Folder,,Ordner auswählen,Seleccionar carpeta,Sélectionner dossier,Pilih Folder,Seleziona cartella,フォルダを選択,폴더 선택,Zaznacz folder,Selecionar pasta,,เลือกโฟลเดอร์,Klasör seç,Chọn Thư Mục,,,選擇資料夾
Studio.FileSync.Buttons.Ok,,,Ok,Ok,,OK,Aceptar,Ok,Oke,Ok,了解,확인,OK,OK,,ตกลง,Tamam,OK,,,確定
Studio.FileSync.Status.StudioChanges.MainText,,,Your Local Files are Out of Date,Your Local Files are Out of Date,,Deine lokalen Dateien sind veraltet,Tus archivos locales están obsoletos,Vos fichiers locaux sont périmés,File Lokal Sudah Kedaluwarsa,I tuoi file locali non sono aggiornati,ローカルファイルが最新ではありません,로컬 파일이 최신 상태가 아닙니다,Pliki lokalne są nieaktualne,Seus arquivos locais estão desatualizados,,ไฟล์ในเครื่องของคุณล้าสมัยแล้ว,Yerel dosyaların güncel değil,Các Tệp Cục Bộ Của Bạn Đã Cũ,,,您的本機檔案已過時
Studio.FileSync.Errors.ExportFailure,,,Failed Export,Failed Export,,Export fehlgeschlagen,Error de exportación,Échec de l'exportation,Ekspor Gagal,Esportazione non riuscita,失敗したエクスポート,내보내기 실패,Nie udało się wyeksportować,Falha na exportação,,ส่งออกไม่สำเร็จ,Dışa aktarma başarısız,Không Xuất Được,,,匯出失敗
Studio.FileSync.Successes.ExportSuccess,,,Successfully Exported,Successfully Exported,,Erfolgreich exportiert,Exportado correctamente,Exporté avec succès,Berhasil Diekspor,Esportazione completata,エクスポート完了,내보내기 완료,Wyeksportowano,Exportado com sucesso,,ส่งออกสำเร็จแล้ว,Başarıyla dışa aktarıldı,Đã Xuất Thành Công,,,匯出成功
