Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Ribbon.Plugin.Name,,,Ribbon,Ribbon,الشريط,Multifunktionsleiste,Barra de herramientas,Ruban,Ribbon,Barra,リボン,리본,Wstążka,Barra de ferramentas,,Ribbon,Şerit,Ribbon,功能区,功能区,功能區
Studio.Ribbon.Plugin.Text,,,Example Text!,Example Text!,مثال على النص!,Beispieltext!,Texto de ejemplo,Exemple de texte !,Teks Contoh!,Questo è un testo di esempio!,テキストの例,예시 텍스트!,Tekst przykładowy!,Texto de exemplo!,,ข้อความตัวอย่าง!,Örnek Metin!,Văn Bản Mẫu!,示例文本！,示例文本！,範例文字！
Studio.Ribbon.Plugin.Tab_Avatar,,,Avatar,Avatar,,Avatar,Avatar,Avatar,Avatar,Avatar,アバター,아바타,Awatar,Avatar,,อวาตาร์,Avatar,Avatar,,,虛擬人偶
Studio.Ribbon.Plugin.Setting_Script,,,Script,Script,,Skript,Script,Script,Skrip,Script,スクリプト,스크립트,Skrypt,Script,,สคริปต์,Betik,Kịch Bản,,,指令碼
Studio.Ribbon.Plugin.Setting_Constraint,,,Constraint,Constraint,,Beschränkung,Restricciones,Contrainte,Constraint,Vincolo,拘束,제약,Ograniczenie,Restrição,,Constraint,Kısıtlama,Ràng Buộc,,,限制式
Studio.Ribbon.Plugin.Setting_Part,,,Part,Part,,Teil,Pieza,Pièce,Komponen,Parte,パーツ,파트,Część,Parte,,ชิ้นส่วน,Parça,Phần,,,零件
Studio.Ribbon.Plugin.Tooltip_Format,,,Format selected range of the script with correct layout and indentation,Format selected range of the script with correct layout and indentation,,Ausgewählten Bereich des Skripts mit korrektem Layout und Einzug formatieren,Formatear el rango seleccionado del script con el diseño e indentación correctos,Formater la plage sélectionnée du script avec la disposition et l'indentation correctes,Format rentang yang dipilih dalam skrip dengan tata letak dan indentasi yang benar,Formatta l'intervallo selezionato dello script con layout e rientro corretti,正しいレイアウトとインデントの選択済みスクリプト範囲をフォーマット,올바른 레이아웃과 들여쓰기를 사용해 선택된 범위의 스크립트에 대한 서식 지정하기,"Sformatuj zaznaczony zakres skryptu, używając prawidłowego układu i wcięć",Formate o escopo selecionado do script com layout e indentação corretos,,ระยะที่เลือกของรูปแบบสคริปต์ที่มีเค้าโครงและการเยื้องที่ถูกต้อง,Betikteki seçili aralığı doğru düzen ve girintiyle biçimlendir,Định dạng phạm vi đã chọn của tập lệnh với bố cục và thụt lề chính xác,,,將選取的指令碼範圍調整為正確的版面和縮進格式
Studio.Ribbon.Plugin.Tab_Custom,,,Custom tabs coming soon!,Custom tabs coming soon!,,Benutzerdefinierte Tabs in Kürze verfügbar!,¡Pestañas personalizadas próximamente!,Onglets personnalisés bientôt disponibles !,Tab kustom akan segera hadir!,A breve pubblicheremo le schede personalizzate!,カスタムタブは近日公開予定です！,사용자 정의 탭을 곧 공개합니다!,Wkrótce pojawią się karty niestandardowe!,Abas personalizadas em breve!,,แท็บกำหนดเองจะมาในเร็วๆ นี้!,Özel sekmeler yakında geliyor!,Các thẻ tùy chỉnh sắp ra mắt!,,,自訂分頁即將推出！
Studio.Ribbon.Plugin.Lock,,,Lock,Lock,,Sperren,Lock,Verrouiller,Kunci,Blocca,ロック,잠금,Zablokuj,Bloquear,,ล็อค,Kilit,Khóa,,,鎖定
Studio.Ribbon.Plugin.Setting_Style,,,Style,Style,,Stil,Estilo,Style,Gaya,Stile,スタイル,스타일,Styl,Estilo,,รูปแบบ,Stil,Kiểu,,,樣式
Studio.Ribbon.Plugin.Action_UpdateAvailable,,,Update,Update,,Aktualisieren,Actualizar,Actualiser,Update,Aggiorna,更新,업데이트,Aktualizuj,Atualizar,,อัปเดต,Güncelle,Cập nhật,,,更新
Studio.Ribbon.Plugin.AnchorToolRibbonAction,,,Select object to Anchor,Select object to Anchor,,Objekt zum Verankern auswählen,Seleccionar objeto para Anclar,Sélectionne un objet pour l'ancrer,Pilih objek yang akan dipasangi Jangkar,Seleziona l'oggetto da ancorare,アンカーするオブジェクトを選択,고정할 개체 선택,Zaznacz obiekt do zakotwiczenia,Selecione o objeto para ancorar,,เลือกวัตถุที่ต้องการยึดโยง,Sabitlenecek nesneyi seç,Chọn đối tượng để Neo,,,選擇要固定的物件
Studio.Ribbon.Plugin.LockToolRibbonAction,,,Select object to Lock,Select object to Lock,,Objekt zum Sperren auswählen,Seleccionar objeto para Bloquear,Sélectionne l'objet à verrouiller,Pilih objek yang akan Dikunci,Seleziona l'oggetto da bloccare,ロックするオブジェクトを選択,잠글 개체 선택,Zaznacz obiekt do zablokowania,Selecione o objeto para bloquear,,เลือกวัตถุที่ต้องการล็อค,Kilitlenecek nesneyi seç,Chọn đối tượng để Khóa,,,選擇要鎖定的物件
Studio.Ribbon.Plugin.StudsSuffix,,,studs,studs,,Noppen,studs,tenons,kotak,stud,マス,스터드,study(-ów),quadrículas,,Stud,birimkare,stud,,,個磚塊
Studio.Ribbon.Plugin.Tab_Custom_Tooltip,,,Create and manage your own tabs and toolbars,Create and manage your own tabs and toolbars,,Erstelle und verwalte deine eigenen Tabs und Symbolleisten,Crea y gestiona tus propias pestañas y barras de herramientas,Crée et gère tes propres onglets et barres d'outils,Buat dan kelola tab dan bilah alatmu sendiri,Crea e gestisci le tue schede e barre degli strumenti,自分のタブとツールバー作成と管理,나만의 탭과 도구 모음을 만들고 관리하세요,Twórz własne karty oraz paski narzędzi i zarządzaj nimi,Crie e gerencie suas próprias guias e barras de ferramentas,,สร้างและจัดการแท็บและแถบเครื่องมือของคุณเอง,Kendi sekmelerini ve araç çubuklarını oluşturup yönet,Tạo và quản lý các thẻ và thanh công cụ của riêng bạn,,,建立並管理自己的分頁與工具列
Studio.Ribbon.Plugin.Tooltip_GUI,,,Create a new GUI container,Create a new GUI container,,Neuen GUI-Container erstellen,Crea un nuevo contenedor GUI,Créer un nouveau conteneur GUI,Buat kontainer GUI baru,Crea un nuovo container GUI,新規GUIコンテナを作成,새로운 GUI 컨테이너 만들기,Utwórz nowy kontener graficznego interfejsu użytkownika,Criar um novo contêiner de interface gráfica,,สร้างตัวบรรจุ GUI ใหม่,Yeni GUI kapsayıcısı oluştur,Tạo một bộ chứa GUI mới,,,建立新的 GUI 容器
Studio.Ribbon.Plugin.Tab_Home,,,Home,Home,,Start,Inicio,Accueil,Beranda,Home,ホーム,홈,Strona główna,Início,,หน้าหลัก,Ana Sayfa,Trang Chủ,,,首頁
Studio.Ribbon.Plugin.Tab_Model,,,Model,Model,,Modell,Modelo,Modèle,Model,Modello,モデル,모델,Model,Modelo,,โมเดล,Model,Mô Hình,,,模型
Studio.Ribbon.Plugin.Setting_Group,,,Group,Group,,Gruppe,Grupo,Groupe,Grup,Gruppo,グループ,그룹,Grupuj,Grupo,,กลุ่ม,Grup,Nhóm,,,群組
Studio.Ribbon.Plugin.Tooltip_Part,,,Create a new Part,Create a new Part,,Neues Teil erstellen,Crear una nueva pieza,Créer une nouvelle pièce,Buat Komponen baru,Crea una nuova parte,新しいパーツを作成,새로운 파트 만들기,Utwórz nową część,Crie uma nova parte,,สร้างชิ้นส่วนใหม่,Yeni parça oluştur,Tạo Một Phần Mới,,,建立新零件
Studio.Ribbon.Plugin.Tab_UI,,,UI,UI,,UI,UI,Interface utilisateur,UI,UI,UI,UI,Interfejs użytkownika,Interface do usuário,,UI,UI,Giao Diện Người Dùng,,,UI
Studio.Ribbon.Plugin.Tab_Script,,,Script,Script,,Skript,Script,Script,Skrip,Script,スクリプト,스크립트,Skrypt,Script,,สคริปต์,Betik,Kịch Bản,,,指令碼
Studio.Ribbon.Plugin.Tab_Plugins,,,Plugins,Plugins,,Plug-ins,Plugins,Plugins,Plugin,Plugin,プラグイン,플러그인,Dodatki plug-in,Plugins,,ปลั๊กอิน,Eklentiler,Plugin,,,外掛程式
Studio.Ribbon.Plugin.Setting_RunMode,,,Play,Play,,Spielen,Jugar,Jouer,Mainkan,Riproduci,プレイ,플레이,Zagraj,Jogar,,เล่น,Oyna,Chơi,,,執行
Studio.Ribbon.Plugin.Setting_GUI,,,GUI,GUI,,GUI,GUI,GUI,GUI,Interfaccia grafica utente,GUI,GUI,Graficzny interfejs użytkownika,GUI,,GUI,GUI,GUI,,,GUI
