Key,Context,Source,en-us
Studio.App.Properties.TitleFmt1,title of properties widget,Properties - %1,Properties - %1
Studio.App.Properties.MultipleTypes,,<Multiple Types>,<Multiple Types>
Studio.App.Properties.NoTagsAdded,Displayed in Tags Section when no tags have been added yet.,No Tags have been added yet,No Tags have been added yet
Studio.App.Properties.NoAttributeAdded,Displayed in Attributes Section when no attribute has been added yet.,No Attribute has been added yet,No Attribute has been added yet
Studio.App.Properties.AddAttribute,Title/text for Add Attribute button/dialog,Add Attribute,Add Attribute
Studio.App.Properties.UnknownAttribute,Displayed when an unhandled exception occurs.,Unknown attributes runtime error.,Unknown attributes runtime error.
Studio.App.Properties.Button.FontFamily.Bold.Label,"Label for the button, not normally shown.",Bold,Bold
Studio.App.Properties.Button.FontFamily.Bold.ToolTip,Tooltip for a button that toggles bold on/off in TextLabel/etc objects.,Whether the text should be displayed emboldened.,Whether the text should be displayed emboldened.
Studio.App.Properties.Button.FontFamily.Italic.Label,"Label for the button, not normally shown.",Italic,Italic
Studio.App.Properties.Button.FontFamily.Italic.ToolTip,Tooltip for a button that toggles italic on/off in TextLabel/etc objects.,Whether the text should be displayed in an italicized font.,Whether the text should be displayed in an italicized font.
Studio.App.Properties.CustomizedAttributeTooltip,Title/text for Add Attribute button/dialog,This attribute is customized. Its value will be retained when updating to a new version. Publishing the package makes the customization the new default.,This attribute is customized. Its value will be retained when updating to a new version. Publishing the package makes the customization the new default.
