Key,Context,Source,en-us
Studio.App.StartPageLogin.Username,,Username,Username
Studio.App.StartPageLogin.Password,,Password,Password
Studio.App.StartPageLogin.NotAMemberYet,,Not a member yet?,Not a member yet?
Studio.App.StartPageLogin.SignUp,,Sign up,Sign up
Studio.App.StartPageLogin.PrivacyPolicy,,Privacy Policy,Privacy Policy
Studio.App.StartPageLogin.LogIn,,Log In,Log In
Studio.App.StartPageLogin.StartCreatingOwnGames,,Start creating your own experiences!,Start creating your own experiences!
Studio.App.StartPageLogin.OpeningPlaceElps,,Opening place...,Opening place...
Studio.App.StartPageLogin.LoggingOutElps,,Logging out...,Logging out...
Studio.App.StartPageLogin.LoggingInElps,,Logging in...,Logging in...
Studio.App.StartPageLogin.ForgotPassword,,Forgot Password?,Forgot Password?
Studio.App.StartPageLogin.WeChatQQLogin,,WeChat / QQ Login,WeChat / QQ Login
