File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,9e7221ad4d25d7348de5f887cade14dd,411,400
BuiltInPlugins.zip,22d40e5b38ed98ecc3473b347be8369f,51473523,67905202
BuiltInStandalonePlugins.zip,6d14b52a2267520c44cc36658140ed80,32566079,44537820
Plugins.zip,b4b04085aaf099cec525e5368992fbf5,964224,2137536
Qml.zip,4377ceffa9c701ab550c0ef8c88f96d7,3055570,8203065
RibbonConfig.zip,551e972e269f5554cf4fb0856aa42337,7061,75442
StudioFonts.zip,6df04925b4a61fdf50c06ff827eb369a,105391316,132630629
WebView2.zip,9e47d6dea449c5b789a4c4d3b1bfdaff,81240,158648
WebView2RuntimeInstaller.zip,e42a6697bf05466d4dba26c8fe476d2e,1486447,1589080
RobloxStudio.zip,8670758a58ee1293214af98d537cd25d,90949693,177274571
Libraries.zip,80acc10ee9f1f54a6a14c4f011649a24,6778766,17040216
LibrariesQt5.zip,ccd7da241f7a040b45eb49b89f3e10f8,13401878,32420112
content-avatar.zip,8e42a6c83eeb825614c06b1b04a4c236,562201,1699119
content-configs.zip,14bb1f3074a02aceead492b5c489fbb7,261963,1168866
content-fonts.zip,30c885074d0320c0932e06bfd537c915,6005683,12339768
content-models.zip,671fb1a7b360b7f4281af5e52acc2c84,491904,1569768
content-qt_translations.zip,9ac41564393da36084990e6dd9d08f50,650142,2218403
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,32622161783a33a229827a2a0261cc16,597244,627948
shaders.zip,f37d88d49f957739f3d66a14e418a838,8449825,49712345
ssl.zip,5c818e18b34530c7597705ea458dbf11,135951,238513
content-textures2.zip,8fada370c5c5839080f35d3c12063754,13549632,14565190
content-textures3.zip,909f4b9d7bc03a926d35e84d0c99ffbf,3713218,8777652
content-studio_svg_textures.zip,3383583f39b723b693dbf7649a768156,6750580,5641685
content-terrain.zip,b4b75c21ce05378163042dc45cec5834,3267,26109
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-platform-dictionaries.zip,715a61e0af6aed269890ce49be4e58e9,152263,515342
content-api-docs.zip,26c37932dfcebf0c29330308d6591ac6,508212,5285830
extracontent-scripts.zip,f526642fc6ce8131fa2a48d9c09ab735,2770753,8468186
extracontent-luapackages.zip,0681780723e4c3529324706e5ea14662,11707239,21457864
extracontent-translations.zip,81ffb1695e5e58c620be600c503ac2ac,484131,1491295
extracontent-models.zip,2ea458cfb5b6c0f5d2996943367f1064,8284008,8363502
extracontent-textures.zip,4f35f61a4f1eae1d949e53f69a87e296,17130170,17234446
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216
